date,type
2026-08-17,journee_standard
2026-08-18,journee_standard
2026-08-19,journee_c1
2026-08-20,journee_standard
2026-08-21,journee_standard
2026-08-24,journee_standard
2026-08-25,journee_standard
2026-08-26,journee_c1
2026-08-27,journee_standard
2026-08-28,journee_standard
2026-08-31,journee_standard
2026-09-01,journee_standard
2026-09-02,journee_c1
2026-09-03,journee_standard
2026-09-04,journee_standard
2026-09-07,journee_standard
2026-09-08,journee_standard
2026-09-09,journee_c1
2026-09-10,journee_standard
2026-09-11,journee_standard
2026-09-14,journee_standard
2026-09-15,journee_standard
2026-09-16,journee_c1
2026-09-17,journee_standard
2026-09-18,journee_standard
2026-09-21,journee_standard
2026-09-22,journee_standard
2026-09-23,journee_c1
2026-09-24,journee_standard
2026-09-25,journee_standard
2026-09-28,journee_standard
2026-09-29,journee_standard
2026-09-30,journee_c1
2026-10-01,journee_standard
2026-10-02,journee_standard
2026-10-05,journee_standard
2026-10-06,journee_standard
2026-10-07,journee_c1
2026-10-08,journee_standard
2026-10-09,journee_standard
2026-10-12,journee_standard
2026-10-13,journee_standard
2026-10-14,journee_c1
2026-10-15,journee_standard
2026-10-16,journee_standard
2026-10-19,vacances
2026-10-20,vacances
2026-10-21,vacances
2026-10-22,vacances
2026-10-23,vacances
2026-10-26,vacances
2026-10-27,vacances
2026-10-28,vacances
2026-10-29,vacances
2026-10-30,vacances
2026-11-02,journee_standard
2026-11-03,journee_standard
2026-11-04,journee_c1
2026-11-05,journee_standard
2026-11-06,journee_standard
2026-11-09,journee_standard
2026-11-10,journee_standard
2026-11-11,journee_c1
2026-11-12,journee_standard
2026-11-13,journee_standard
2026-11-16,journee_standard
2026-11-17,journee_standard
2026-11-18,journee_c1
2026-11-19,journee_standard
2026-11-20,journee_standard
2026-11-23,journee_standard
2026-11-24,journee_standard
2026-11-25,journee_c1
2026-11-26,journee_standard
2026-11-27,journee_standard
2026-11-30,journee_standard
2026-12-01,journee_standard
2026-12-02,journee_c1
2026-12-03,journee_standard
2026-12-04,journee_standard
2026-12-07,journee_standard
2026-12-08,journee_standard
2026-12-09,journee_c1
2026-12-10,journee_standard
2026-12-11,journee_standard
2026-12-14,journee_standard
2026-12-15,journee_standard
2026-12-16,journee_c1
2026-12-17,journee_standard
2026-12-18,journee_standard
2026-12-21,vacances
2026-12-22,vacances
2026-12-23,vacances
2026-12-24,vacances
2026-12-25,vacances
2026-12-28,vacances
2026-12-29,vacances
2026-12-30,vacances
2026-12-31,vacances
2027-01-01,vacances
2027-01-04,journee_standard
2027-01-05,journee_standard
2027-01-06,journee_c1
2027-01-07,journee_standard
2027-01-08,journee_standard
2027-01-11,journee_standard
2027-01-12,journee_standard
2027-01-13,journee_c1
2027-01-14,journee_standard
2027-01-15,journee_standard
2027-01-18,journee_standard
2027-01-19,journee_standard
2027-01-20,journee_c1
2027-01-21,journee_standard
2027-01-22,journee_standard
2027-01-25,journee_standard
2027-01-26,journee_standard
2027-01-27,journee_c1
2027-01-28,journee_standard
2027-01-29,journee_standard
2027-02-01,journee_standard
2027-02-02,journee_standard
2027-02-03,journee_c1
2027-02-04,journee_standard
2027-02-05,journee_standard
2027-02-08,journee_standard
2027-02-09,journee_standard
2027-02-10,journee_c1
2027-02-11,journee_standard
2027-02-12,journee_standard
2027-02-15,vacances
2027-02-16,vacances
2027-02-17,vacances
2027-02-18,vacances
2027-02-19,vacances
2027-02-22,vacances
2027-02-23,vacances
2027-02-24,vacances
2027-02-25,vacances
2027-02-26,vacances
2027-03-01,journee_standard
2027-03-02,journee_standard
2027-03-03,journee_c1
2027-03-04,journee_standard
2027-03-05,journee_standard
2027-03-08,journee_standard
2027-03-09,journee_standard
2027-03-10,journee_c1
2027-03-11,journee_standard
2027-03-12,journee_standard
2027-03-15,journee_standard
2027-03-16,journee_standard
2027-03-17,journee_c1
2027-03-18,journee_standard
2027-03-19,journee_standard
2027-03-22,journee_standard
2027-03-23,journee_standard
2027-03-24,journee_c1
2027-03-25,journee_standard
2027-03-26,journee_standard
2027-03-29,journee_standard
2027-03-30,journee_standard
2027-03-31,journee_c1
2027-04-01,journee_standard
2027-04-02,journee_standard
2027-04-05,journee_standard
2027-04-06,journee_standard
2027-04-07,journee_c1
2027-04-08,journee_standard
2027-04-09,journee_standard
2027-04-12,vacances
2027-04-13,vacances
2027-04-14,vacances
2027-04-15,vacances
2027-04-16,vacances
2027-04-19,vacances
2027-04-20,vacances
2027-04-21,vacances
2027-04-22,vacances
2027-04-23,vacances
2027-04-26,journee_standard
2027-04-27,journee_standard
2027-04-28,journee_c1
2027-04-29,journee_standard
2027-04-30,journee_standard
2027-05-03,journee_standard
2027-05-04,journee_standard
2027-05-05,journee_c1
2027-05-06,journee_standard
2027-05-07,journee_standard
2027-05-10,journee_standard
2027-05-11,journee_standard
2027-05-12,journee_c1
2027-05-13,journee_standard
2027-05-14,journee_standard
2027-05-17,journee_standard
2027-05-18,journee_standard
2027-05-19,journee_c1
2027-05-20,journee_standard
2027-05-21,journee_standard
2027-05-24,journee_standard
2027-05-25,journee_standard
2027-05-26,journee_c1
2027-05-27,journee_standard
2027-05-28,journee_standard
2027-05-31,journee_standard
2027-06-01,journee_standard
2027-06-02,journee_c1
2027-06-03,journee_standard
2027-06-04,journee_standard
2027-06-07,journee_standard
2027-06-08,journee_standard
2027-06-09,journee_c1
2027-06-10,journee_standard
2027-06-11,journee_standard
2027-06-14,journee_standard
2027-06-15,journee_standard
2027-06-16,journee_c1
2027-06-17,journee_standard
2027-06-18,journee_standard
2027-06-21,journee_standard
2027-06-22,journee_standard
2027-06-23,journee_c1
2027-06-24,journee_standard
2027-06-25,journee_standard
2027-06-28,journee_standard
2027-06-29,journee_standard
2027-06-30,journee_c1
2027-07-01,journee_standard
2027-07-02,journee_standard
2027-07-05,vacances
2027-07-06,vacances
2027-07-07,vacances
2027-07-08,vacances
2027-07-09,vacances
2027-07-12,vacances
2027-07-13,vacances
2027-07-14,vacances
2027-07-15,vacances
2027-07-16,vacances
2027-07-19,vacances
2027-07-20,vacances
2027-07-21,vacances
2027-07-22,vacances
2027-07-23,vacances
2027-07-26,vacances
2027-07-27,vacances
2027-07-28,vacances
2027-07-29,vacances
2027-07-30,vacances
2027-08-02,vacances
2027-08-03,vacances
2027-08-04,vacances
2027-08-05,vacances
2027-08-06,vacances
2027-08-09,vacances
2027-08-10,vacances
2027-08-11,vacances
2027-08-12,vacances
2027-08-13,vacances
2027-08-16,vacances
2027-08-17,vacances
2027-08-18,vacances
2027-08-19,vacances
2027-08-20,vacances
2027-08-23,vacances
2027-08-24,vacances
2027-08-25,vacances
2027-08-26,vacances
2027-08-27,vacances
2027-08-30,vacances
2027-08-31,vacances
