day_type,segment1_start,segment1_end,segment1_guard_type,segment2_start,segment2_end,segment2_guard_type,segment3_start,segment3_end,segment3_guard_type,segment4_start,segment4_end,segment4_guard_type,day_color
Lundi,16:30,19:30,C2E2,,,,,,,,,,#2563eb
Mardi,16:30,18:00,C2E2,18:00,19:30,C2E0,,,,,,,#0ea5e9
Mercredi C&E,9:00,18:30,C2E2,18:30,19:30,C2E0,,,,,,,#0ea5e9
Mercredi C,08:30,19:30,C2E0,,,,,,,,,,#0ea5e9
Vacances,09:00,10:00,C0E2,12:00,15,C2E0,,,,,,,#22c55e
Jeudi,7:15,8:30,C0E2,16:30,19:30,C2E2,,,,,,,#f59e0b
Jeudi C&E,16:30,19:30,C2E2,,,,,,,,,,#8b5cf6
Vendredi,16:30,19:30,C2E0,,,,,,,,,,#ec4899
Vac Claire Centre,17,19:30,C2E0,,,,,,,,,,#f97316
Vac C1,8:30,17,C1E0,17,19:30,C2E0,,,,,,,#6366f1
Vac C2,8:30,19:30,,,,,,,,,,,#16a34a
WE,,,,,,,,,,,,,#16a34a
